"","labels","AVG","totalOocysts","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","OPG"
"2","P3aATV",16.25,325000,"LM_0333",8,49,52.7,1.72,92.9791271347249,"a","Eflab",NA,"Eflab:E64",188953.488372093
"3","P3aAZR",23.75,475000,"LM_0336",9,43.7,51.9,1.02,84.2003853564547,"a","E88",NA,"E88:E64",465686.274509804
"4","P3aBBD",1,20000,"LM_0332",10,47.6,61.2,0.27,77.7777777777778,"a","Eflab",NA,"Eflab:E88",74074.0740740741
"5","P3aBSJ",1.5,30000,"LM_0337",11,40.8,44.7,2.49,91.2751677852349,"a","E88",NA,"E88:UNI",12048.1927710843
"6","P3aCCY",0,NA,"LM_0345",9,57.3,60.7,4.44,94.3986820428336,"a","UNI",NA,"UNI:E64",NA
"7","P3aCXA",106.5,2130000,"LM_0339",7,46.6,49.6,1.93,93.9516129032258,"a","E64",NA,"E64:E64",1103626.94300518
"8","P3aDAL",0,0,"LM_0344",5,50.7,51.4,3.15,98.6381322957199,"a","UNI",NA,"UNI:E88",0
"9","P3aDJM",4.5,90000,"LM_0343",7,51,59.8,1.13,85.2842809364548,"a","E139",NA,"E139:UNI",79646.0176991151
"10","P3aDTY",0,0,"LM_0343",4,56.2,59.8,2.77,93.9799331103679,"a","E139",NA,"E139:UNI",0
"11","P3aDUN",68.25,1365000,"LM_0347",7,65.5,71.5,3.75,91.6083916083916,"a","E88",NA,"E88:E88",364000
"12","P3aDWO",22.75,455000,"LM_0338",7,46.4,51.3,2.61,90.448343079922,"a","E64",NA,"E64:E88",174329.501915709
"13","P3aDXD",0,0,"LM_0346",8,52.4,53.9,3.7,97.2170686456401,"a","UNI",NA,"UNI:UNI",0
"14","P3aEEZ",26.75,535000,"LM_0338",5,46.4,51.3,1.94,90.448343079922,"a","E64",NA,"E64:E88",275773.195876289
"15","P3aENK",0,0,"LM_0333",11,43.2,52.7,1.45,81.9734345351044,"a","Eflab",NA,"Eflab:E64",0
"16","P3aETL",13,260000,"LM_0337",7,44.7,44.7,3.44,100,"a","E88",NA,"E88:UNI",75581.3953488372
"17","P3aFJS",0,0,"LM_0346",7,52.7,53.9,3.12,97.7736549165121,"a","UNI",NA,"UNI:UNI",0
"18","P3aFLM",16.75,335000,"LM_0335",9,43.6,49.4,2.8,88.2591093117409,"a","E88",NA,"E88:UNI",119642.857142857
"19","P3aFOK",0.5,10000,"LM_0332",11,45.9,61.2,0.49,75,"a","Eflab",NA,"Eflab:E88",20408.1632653061
"20","P3aHIX",0,0,"LM_0339",3,48.5,49.6,2.62,97.7822580645161,"a","E64",NA,"E64:E64",0
"21","P3aIZU",0,0,"LM_0344",9,50,51.4,1.5,97.2762645914397,"a","UNI",NA,"UNI:E88",0
"22","P3aJGV",0,0,"LM_0345",6,56.7,60.7,2.58,93.4102141680395,"a","UNI",NA,"UNI:E64",0
"23","P3aJIH",0,0,"LM_0334",11,39.4,50.7,0.85,77.7120315581854,"a","Eflab",NA,"Eflab:UNI",0
